id,email,first_name,last_name,state,created_at,orders_count,total_spent,tags,accepts_marketing
7000000035,olivia.walker26@outlook.com,Olivia,Walker,NC,2024-08-21T08:06:59-05:00,7,248.54,,true
7000000036,elizabeth.moore99@outlook.com,Elizabeth,Moore,WI,2025-06-05T14:33:06-05:00,7,331.33,,true
7000000037,isabella.taylor75@gmail.com,Isabella,Taylor,TX,2025-09-02T15:49:19-05:00,1,78.38,,true
7000000038,owen.allen@outlook.com,Owen,Allen,NY,2025-03-22T00:03:41-05:00,4,464.30,,true
7000000039,ellajones43@gmail.com,Ella,Jones,CT,2024-11-03T18:27:49-05:00,1,45.30,,false
7000000040,avery_hall@yahoo.com,Avery,Hall,MA,2025-01-23T06:20:10-05:00,1,22.49,,true
7000000041,victoria_smith@icloud.com,Victoria,Smith,MN,2025-09-13T23:50:13-05:00,3,90.96,,false
7000000042,laylawilson@gmail.com,Layla,Wilson,NC,2025-06-11T23:02:40-05:00,2,59.92,,true
7000000043,layla.martin@gmail.com,Layla,Martin,NY,2024-09-07T17:17:57-05:00,1,38.10,,true
7000000044,jacobgreen25@icloud.com,Jacob,Green,AZ,2024-09-06T05:22:22-05:00,4,444.32,,true
7000000045,savannah.ramirez23@gmail.com,Savannah,Ramirez,OR,2024-09-12T04:25:06-05:00,6,1469.35,,false
7000000046,aaliyahlewis93@hotmail.com,Aaliyah,Lewis,CO,2024-06-11T17:16:56-05:00,11,402.66,,true
7000000047,savannahroberts@outlook.com,Savannah,Roberts,CO,2024-03-20T10:24:10-05:00,1,45.78,,true
7000000048,sebastian.garcia@icloud.com,Sebastian,Garcia,IN,2024-06-05T07:47:23-05:00,12,437.73,,false
7000000049,sebastian_robinson@icloud.com,Sebastian,Robinson,AZ,2025-08-21T00:42:40-05:00,5,161.46,,false
7000000050,emma_thompson97@icloud.com,Emma,Thompson,OR,2025-07-13T21:57:49-05:00,3,290.56,,false
7000000051,abigail_ramirez4@outlook.com,Abigail,Ramirez,MO,2025-02-18T06:00:32-05:00,3,133.62,,true
7000000052,averynguyen@gmail.com,Avery,Nguyen,WI,2025-03-14T04:56:26-05:00,2,62.27,,true
7000000053,benjamin_harris28@outlook.com,Benjamin,Harris,MI,2025-01-23T10:07:51-05:00,3,281.89,,false
7000000054,sophia.walker@outlook.com,Sophia,Walker,OH,2025-10-27T02:29:53-05:00,1,37.64,,true
7000000055,evelyn.gonzalez@yahoo.com,Evelyn,Gonzalez,FL,2025-04-29T04:09:53-05:00,9,318.47,,true
7000000056,nathan_taylor@yahoo.com,Nathan,Taylor,NC,2024-04-20T21:04:09-05:00,1,45.78,,true
7000000057,avery.rivera@gmail.com,Avery,Rivera,IN,2024-11-04T21:51:37-05:00,5,1176.85,,true
7000000058,sebastianramirez@hotmail.com,Sebastian,Ramirez,WI,2024-12-15T00:27:38-05:00,1,42.43,,false
7000000059,ellawhite@icloud.com,Ella,White,IL,2025-06-18T23:40:56-05:00,1,42.00,,false
7000000060,ellacampbell35@yahoo.com,Ella,Campbell,CA,2024-10-12T16:24:47-05:00,9,404.83,,false
7000000061,elizabeth_johnson@icloud.com,Elizabeth,Johnson,PA,2024-12-29T09:24:22-05:00,1,37.08,,true
7000000062,chloe.gonzalez31@icloud.com,Chloe,Gonzalez,OR,2024-09-03T17:20:02-05:00,17,812.40,,false
7000000063,liam_garcia29@yahoo.com,Liam,Garcia,NC,2025-08-18T13:26:08-05:00,1,97.19,,true
7000000064,lily_scott46@outlook.com,Lily,Scott,NC,2024-09-14T08:23:37-05:00,1,117.28,,true
7000000065,isabellamitchell@yahoo.com,Isabella,Mitchell,PA,2025-05-10T10:04:01-05:00,3,265.00,,true
7000000066,elijah.jackson@outlook.com,Elijah,Jackson,NJ,2025-06-30T04:36:31-05:00,3,275.83,,true
7000000067,nathanrodriguez97@gmail.com,Nathan,Rodriguez,NJ,2025-08-10T10:21:08-05:00,3,99.02,,false
7000000068,harper_brown@gmail.com,Harper,Brown,AZ,2025-05-18T02:41:50-05:00,8,299.62,,true
7000000069,mia_torres@gmail.com,Mia,Torres,OR,2025-03-02T22:04:31-05:00,1,95.95,,true
7000000070,michael_lewis76@outlook.com,Michael,Lewis,MN,2025-09-27T02:11:34-05:00,2,459.98,,true
7000000071,camila_wilson@yahoo.com,Camila,Wilson,OH,2024-06-26T20:05:50-05:00,2,74.88,,true
7000000072,michaelhall61@gmail.com,Michael,Hall,OH,2024-10-22T10:17:36-05:00,1,96.29,,false
7000000073,layla_anderson@icloud.com,Layla,Anderson,TX,2025-07-11T08:11:06-05:00,2,63.96,,true
7000000074,ava.brown40@icloud.com,Ava,Brown,TX,2025-04-24T11:04:17-05:00,1,42.43,,true
7000000075,michaelgarcia6@outlook.com,Michael,Garcia,MD,2024-09-13T00:56:30-05:00,1,118.79,,true
7000000076,mateo.williams61@outlook.com,Mateo,Williams,IL,2025-08-22T15:52:12-05:00,2,227.27,,false
7000000077,daniel_thompson43@gmail.com,Daniel,Thompson,IL,2024-12-03T14:59:15-05:00,1,37.08,,true
7000000078,aaliyah.scott@outlook.com,Aaliyah,Scott,GA,2024-11-27T04:13:14-05:00,7,259.72,,false
7000000079,penelope_wright@yahoo.com,Penelope,Wright,TN,2025-01-05T22:40:09-05:00,4,380.21,,false
7000000080,ameliamoore17@icloud.com,Amelia,Moore,IN,2025-05-11T04:25:15-05:00,4,135.49,,true
7000000081,emily.scott71@gmail.com,Emily,Scott,OH,2024-04-26T16:48:02-05:00,7,819.16,,true
7000000082,zoeyjackson91@icloud.com,Zoey,Jackson,VA,2025-04-28T08:52:26-05:00,3,283.92,,true
7000000083,elijahhill@gmail.com,Elijah,Hill,GA,2025-02-28T12:22:28-05:00,4,186.26,,true
7000000084,mason_campbell76@yahoo.com,Mason,Campbell,CO,2025-07-05T17:38:03-05:00,1,56.97,,false
7000000085,logangonzalez31@yahoo.com,Logan,Gonzalez,SC,2025-02-24T01:35:20-05:00,1,29.48,,false
7000000086,ethannelson20@gmail.com,Ethan,Nelson,FL,2025-05-29T21:29:16-05:00,8,380.61,,true
7000000087,jackson_king@icloud.com,Jackson,King,WI,2024-06-07T02:43:27-05:00,12,440.06,,true
7000000088,aria_hall@outlook.com,Aria,Hall,MO,2025-06-30T13:50:08-05:00,1,38.57,,false
7000000089,aria.jones81@yahoo.com,Aria,Jones,CT,2024-04-02T15:48:01-05:00,7,250.30,,true
7000000090,aiden_hall@outlook.com,Aiden,Hall,NY,2024-10-27T13:03:04-05:00,2,75.23,,true
7000000091,chloeclark@yahoo.com,Chloe,Clark,IL,2024-03-21T22:11:27-05:00,11,343.61,,true
7000000092,riley.martinez60@icloud.com,Riley,Martinez,GA,2024-01-10T16:56:21-05:00,14,501.18,,true
7000000093,michaelthompson39@outlook.com,Michael,Thompson,CO,2024-11-05T07:15:11-05:00,1,200.32,,false
7000000094,evelynharris46@outlook.com,Evelyn,Harris,NJ,2025-02-09T09:59:36-05:00,1,42.43,,true
7000000095,mason.roberts78@yahoo.com,Mason,Roberts,WI,2024-07-13T22:36:21-05:00,2,79.15,,true
7000000096,camila.adams40@gmail.com,Camila,Adams,MN,2025-01-08T04:47:04-05:00,1,96.29,,true
7000000097,lily.clark@hotmail.com,Lily,Clark,WA,2025-06-27T18:16:11-05:00,7,260.48,,true
7000000098,danieljackson@icloud.com,Daniel,Jackson,CA,2024-05-24T08:12:51-05:00,4,143.32,,false
7000000099,sophia.sanchez@icloud.com,Sophia,Sanchez,WA,2024-09-25T21:16:59-05:00,1,47.97,,true
7000000100,layla_anderson4@hotmail.com,Layla,Anderson,OH,2025-10-25T02:18:05-05:00,3,96.72,,false
7000000101,jayden.clark@gmail.com,Jayden,Clark,NC,2025-05-19T04:13:40-05:00,1,97.19,,true
7000000102,scarlettwhite96@hotmail.com,Scarlett,White,CT,2024-06-07T15:06:19-05:00,3,717.97,,false
7000000103,abigailwilliams@icloud.com,Abigail,Williams,CO,2024-08-29T13:12:17-05:00,1,71.99,,true
7000000104,noah_sanchez@icloud.com,Noah,Sanchez,CA,2024-08-05T23:21:49-05:00,12,382.94,,true
7000000105,elizabeth.thomas@gmail.com,Elizabeth,Thomas,SC,2025-07-21T07:32:32-05:00,1,42.98,,true
7000000106,savannahmartinez1@yahoo.com,Savannah,Martinez,FL,2025-07-07T09:07:33-05:00,2,163.44,,true
7000000107,lucas_smith31@gmail.com,Lucas,Smith,IL,2024-09-28T01:54:28-05:00,1,39.00,,false
7000000108,lily_jones58@hotmail.com,Lily,Jones,MN,2024-04-21T16:27:25-05:00,4,355.09,,true
7000000109,scarlett.adams8@icloud.com,Scarlett,Adams,MA,2024-04-20T17:51:00-05:00,7,813.89,,false
7000000110,sophialee@yahoo.com,Sophia,Lee,GA,2025-10-01T23:02:58-05:00,1,53.97,,true
7000000111,owen_king59@gmail.com,Owen,King,IN,2024-04-27T23:50:14-05:00,7,1685.55,,true
7000000112,michael_anderson44@icloud.com,Michael,Anderson,MA,2024-04-07T11:22:46-05:00,1,78.38,,true
7000000113,mia_baker@gmail.com,Mia,Baker,CA,2025-03-18T03:30:56-05:00,10,930.92,,true
7000000114,victoriabrown72@gmail.com,Victoria,Brown,MA,2024-12-28T15:23:55-05:00,1,39.98,,true
7000000115,owen_martin@yahoo.com,Owen,Martin,MO,2025-05-08T08:09:52-05:00,1,53.13,,true
7000000116,isabella_carter@icloud.com,Isabella,Carter,OR,2025-09-28T22:20:22-05:00,4,147.05,,true
7000000117,liam_lopez90@outlook.com,Liam,Lopez,WA,2024-01-07T06:36:17-05:00,11,520.25,,false
7000000118,miamitchell@hotmail.com,Mia,Mitchell,PA,2025-01-20T15:17:08-05:00,12,1140.85,,true
7000000119,emily_campbell@gmail.com,Emily,Campbell,FL,2024-06-10T22:29:41-05:00,7,628.72,,true
7000000120,michael_nelson63@icloud.com,Michael,Nelson,GA,2024-08-08T18:39:14-05:00,4,130.04,,false
7000000121,masonbaker76@hotmail.com,Mason,Baker,MO,2024-11-11T01:39:12-05:00,11,1030.66,,true
7000000122,amelia.martin@outlook.com,Amelia,Martin,NC,2024-12-01T04:22:06-05:00,3,133.17,,false
7000000123,lucasharris@hotmail.com,Lucas,Harris,OR,2024-12-28T02:37:27-05:00,3,699.08,,true
7000000124,liam.robinson41@hotmail.com,Liam,Robinson,AZ,2025-10-17T15:12:27-05:00,3,97.02,,false
7000000125,loganhernandez59@gmail.com,Logan,Hernandez,MA,2024-04-18T08:51:31-05:00,4,145.35,,false
7000000126,averymartin@outlook.com,Avery,Martin,SC,2024-06-21T02:46:51-05:00,1,56.58,,true
7000000127,savannah_thompson@yahoo.com,Savannah,Thompson,TX,2024-05-29T09:19:10-05:00,2,185.94,,true
7000000128,harperroberts64@hotmail.com,Harper,Roberts,SC,2025-08-16T16:20:38-05:00,1,45.30,,true
7000000129,mia.lewis61@outlook.com,Mia,Lewis,GA,2025-08-28T02:02:42-05:00,2,480.39,,true
7000000130,scarlett.lewis8@outlook.com,Scarlett,Lewis,CA,2025-10-22T03:17:15-05:00,2,70.89,,false
7000000131,rileyscott6@hotmail.com,Riley,Scott,WI,2024-07-11T11:42:23-05:00,4,121.22,,true
7000000132,michael_miller@hotmail.com,Michael,Miller,WI,2024-06-25T01:25:30-05:00,2,90.28,,false
7000000133,chloeking21@outlook.com,Chloe,King,NC,2025-01-31T14:52:58-05:00,4,435.96,,true
7000000134,ava.perez72@outlook.com,Ava,Perez,GA,2025-09-09T05:28:29-05:00,2,236.48,,true
7000000135,emilyadams85@yahoo.com,Emily,Adams,MD,2024-03-27T11:16:17-05:00,2,168.28,,true
7000000136,penelopehall@icloud.com,Penelope,Hall,TN,2025-01-05T00:39:49-05:00,4,908.43,,true
7000000137,elizabeth_roberts@yahoo.com,Elizabeth,Roberts,FL,2024-03-20T10:46:10-05:00,8,923.23,,true
7000000138,penelopeperez17@yahoo.com,Penelope,Perez,IL,2024-07-04T22:44:45-05:00,7,1686.89,,true
7000000139,olivia_clark@icloud.com,Olivia,Clark,MD,2024-10-18T16:20:41-05:00,5,1146.95,,true
7000000140,daniel_gonzalez87@icloud.com,Daniel,Gonzalez,SC,2024-10-15T13:54:12-05:00,5,1239.36,,false
7000000141,elijah.hill@icloud.com,Elijah,Hill,WA,2025-07-21T03:44:06-05:00,3,85.96,,true
7000000142,sophia.carter35@hotmail.com,Sophia,Carter,FL,2025-03-23T03:20:21-05:00,5,228.65,,true
7000000143,alexander_johnson7@hotmail.com,Alexander,Johnson,WA,2024-08-29T14:03:35-05:00,2,75.10,,true
7000000144,liam.lee92@yahoo.com,Liam,Lee,FL,2024-02-09T10:26:41-05:00,12,440.63,,false
7000000145,aaliyah_rivera@gmail.com,Aaliyah,Rivera,NJ,2024-09-19T07:51:06-05:00,2,236.48,,false
7000000146,savannah.jackson@gmail.com,Savannah,Jackson,OH,2025-03-05T23:15:48-05:00,1,106.91,,false
7000000147,isabellayoung@hotmail.com,Isabella,Young,MN,2024-09-04T05:13:38-05:00,6,702.29,,true
7000000148,evelyn_torres@hotmail.com,Evelyn,Torres,WA,2024-03-10T19:09:11-05:00,1,96.29,,true
7000000149,danielwilliams50@outlook.com,Daniel,Williams,CT,2024-01-17T13:00:05-05:00,17,1622.46,,true
7000000150,noranelson14@yahoo.com,Nora,Nelson,NY,2024-12-26T19:52:47-05:00,10,941.95,,true
7000000151,nathanwalker@gmail.com,Nathan,Walker,IN,2025-04-13T01:20:47-05:00,3,136.36,,true
7000000152,olivia_lee66@hotmail.com,Olivia,Lee,VA,2024-09-16T01:19:59-05:00,3,333.96,,true
7000000153,alexander.roberts84@outlook.com,Alexander,Roberts,TX,2025-01-11T15:54:32-05:00,2,62.64,,false
7000000154,elizabeth_lopez89@outlook.com,Elizabeth,Lopez,TN,2024-09-30T03:00:28-05:00,6,572.22,,true
7000000155,owenlopez38@gmail.com,Owen,Lopez,CA,2024-12-01T10:45:50-05:00,4,122.06,,false
7000000156,nathan_lewis@outlook.com,Nathan,Lewis,MD,2025-03-21T09:59:46-05:00,1,36.97,,true
7000000157,penelope_green@gmail.com,Penelope,Green,FL,2025-09-14T15:57:12-05:00,2,97.57,,true
7000000158,savannah_adams47@hotmail.com,Savannah,Adams,NY,2025-09-11T05:35:11-05:00,3,291.91,,true
7000000159,michael.carter@hotmail.com,Michael,Carter,WA,2025-02-11T11:26:47-05:00,9,332.76,,true
7000000160,liam.mitchell64@hotmail.com,Liam,Mitchell,TX,2024-09-25T09:28:36-05:00,1,56.58,,true
7000000161,nathan.young@gmail.com,Nathan,Young,CO,2024-06-25T16:12:21-05:00,7,801.77,,true
7000000162,zoeyjones70@outlook.com,Zoey,Jones,IL,2025-10-15T06:20:18-05:00,1,35.98,,true
7000000163,elijah.rodriguez@outlook.com,Elijah,Rodriguez,OR,2025-08-09T13:25:53-05:00,2,436.19,,true
7000000164,ava_martin92@hotmail.com,Ava,Martin,MA,2025-02-23T20:55:53-05:00,4,186.20,,true
7000000165,michaelrobinson67@yahoo.com,Michael,Robinson,SC,2025-07-18T23:17:39-05:00,1,89.99,,true
7000000166,henry.brown@outlook.com,Henry,Brown,IL,2024-06-14T11:44:51-05:00,7,798.81,,true
7000000167,chloe.jackson@hotmail.com,Chloe,Jackson,GA,2024-05-08T22:45:22-05:00,3,104.59,,true
7000000168,riley.nguyen22@hotmail.com,Riley,Nguyen,NY,2024-01-30T02:57:26-05:00,7,219.60,,true
7000000169,savannah_torres@icloud.com,Savannah,Torres,WI,2025-07-12T10:32:47-05:00,2,187.18,,true
7000000170,evelyn_baker39@gmail.com,Evelyn,Baker,IN,2024-03-02T05:45:19-05:00,1,73.48,,false
7000000171,ameliaperez19@outlook.com,Amelia,Perez,CT,2024-12-19T14:31:00-05:00,1,38.57,,true
7000000172,logan_thomas16@icloud.com,Logan,Thomas,OH,2024-05-24T03:31:29-05:00,5,188.61,,false
7000000173,evelyn_hernandez74@yahoo.com,Evelyn,Hernandez,SC,2024-06-12T18:08:28-05:00,7,800.00,,false
7000000174,emily.young12@hotmail.com,Emily,Young,CO,2024-09-03T07:49:59-05:00,2,236.48,,true
7000000175,masonyoung84@outlook.com,Mason,Young,OR,2024-01-09T03:54:49-05:00,8,938.77,,true
7000000176,aaliyah_sanchez6@gmail.com,Aaliyah,Sanchez,MN,2025-07-29T07:05:13-05:00,1,229.99,,true
7000000177,ethan_allen98@hotmail.com,Ethan,Allen,MO,2025-09-17T04:19:32-05:00,4,356.60,,true
7000000178,sofiaperez@yahoo.com,Sofia,Perez,MD,2025-06-05T14:36:50-05:00,7,258.18,,true
7000000179,lucas_rivera61@yahoo.com,Lucas,Rivera,MD,2025-06-11T05:05:21-05:00,2,65.22,,true
7000000180,averyflores39@hotmail.com,Avery,Flores,TN,2025-06-29T17:50:05-05:00,3,140.01,,true
7000000181,liam_white@icloud.com,Liam,White,MN,2024-11-11T22:54:38-05:00,9,860.54,,false
7000000182,jaydenroberts@gmail.com,Jayden,Roberts,MN,2025-05-06T06:12:29-05:00,4,387.07,,false
7000000183,layla.thomas@yahoo.com,Layla,Thomas,NJ,2025-03-27T11:25:16-05:00,5,184.75,,false
7000000184,jacoballen@yahoo.com,Jacob,Allen,TN,2024-07-31T20:25:16-05:00,6,213.31,,false
7000000185,logan_lopez69@hotmail.com,Logan,Lopez,WA,2025-10-20T09:37:30-05:00,2,75.89,,true
7000000186,abigail_scott29@outlook.com,Abigail,Scott,IN,2024-07-31T17:48:14-05:00,1,26.24,,true
7000000187,masondavis87@icloud.com,Mason,Davis,WA,2024-05-29T10:34:30-05:00,4,379.38,,true
7000000188,michael_adams96@yahoo.com,Michael,Adams,PA,2025-07-05T09:52:17-05:00,3,290.33,,true
7000000189,jacksonflores@yahoo.com,Jackson,Flores,NY,2025-06-27T08:12:59-05:00,4,119.32,,true
7000000190,jacobperez@yahoo.com,Jacob,Perez,NJ,2025-07-17T05:45:01-05:00,1,32.26,,false
7000000191,jayden_gonzalez42@gmail.com,Jayden,Gonzalez,SC,2024-04-01T23:44:58-05:00,1,48.91,,true
7000000192,jacob.lopez51@yahoo.com,Jacob,Lopez,CT,2024-10-23T01:21:50-05:00,4,179.45,,true
7000000193,masonrobinson70@yahoo.com,Mason,Robinson,TN,2025-04-24T09:56:01-05:00,1,187.80,,true
7000000194,aiden_campbell83@yahoo.com,Aiden,Campbell,NJ,2024-12-11T10:44:29-05:00,1,187.80,,true
7000000195,aria_green55@gmail.com,Aria,Green,AZ,2024-04-07T06:43:39-05:00,1,45.78,,false
7000000196,evelyn_smith@icloud.com,Evelyn,Smith,SC,2024-09-30T12:00:04-05:00,1,32.98,,true
7000000197,jaydenwhite@gmail.com,Jayden,White,CO,2024-11-10T05:48:54-05:00,5,482.57,,true
7000000198,camila_jackson@yahoo.com,Camila,Jackson,FL,2025-05-04T05:34:38-05:00,1,42.00,,true
7000000199,nathan_scott@yahoo.com,Nathan,Scott,MO,2025-09-02T02:58:50-05:00,2,187.97,,true
7000000200,mateo.davis@hotmail.com,Mateo,Davis,OR,2024-06-02T05:59:26-05:00,1,97.98,,false
7000000201,laylawilson75@gmail.com,Layla,Wilson,TN,2025-04-01T02:01:32-05:00,7,665.25,,false
7000000202,mateobrown60@gmail.com,Mateo,Brown,AZ,2024-09-17T00:06:35-05:00,3,141.94,,true
7000000203,ellathompson@gmail.com,Ella,Thompson,VA,2024-02-02T10:27:09-05:00,5,179.11,,true
7000000204,sofia_harris49@gmail.com,Sofia,Harris,MO,2025-07-06T04:50:31-05:00,1,229.99,,true
7000000205,harper_wright@yahoo.com,Harper,Wright,NJ,2024-01-24T10:51:47-05:00,1,45.30,,false
7000000206,james_thomas@outlook.com,James,Thomas,PA,2024-04-25T01:10:22-05:00,11,402.39,,false
7000000207,evelyn.wilson@icloud.com,Evelyn,Wilson,MD,2024-02-19T08:54:37-05:00,20,916.72,,false
7000000208,james.wright@yahoo.com,James,Wright,TN,2024-10-23T08:31:32-05:00,1,52.96,,true
7000000209,evelyn.martin@icloud.com,Evelyn,Martin,NC,2024-10-08T02:13:09-05:00,5,555.04,,true
7000000210,victoria.young45@hotmail.com,Victoria,Young,MI,2025-03-02T14:51:51-05:00,11,524.92,,false
7000000211,aaliyah_wright@outlook.com,Aaliyah,Wright,IN,2024-05-27T16:51:29-05:00,7,665.82,,false
7000000212,victoria.king@outlook.com,Victoria,King,PA,2024-12-04T23:32:45-05:00,1,38.10,,false
7000000213,sophiawright@outlook.com,Sophia,Wright,AZ,2025-09-11T21:57:06-05:00,1,46.09,,true
7000000214,aaliyahnguyen@icloud.com,Aaliyah,Nguyen,PA,2024-12-06T11:02:19-05:00,1,44.99,,true
7000000215,elijah.mitchell96@yahoo.com,Elijah,Mitchell,IN,2025-09-10T07:26:45-05:00,2,475.22,,true
7000000216,savannah_jackson60@outlook.com,Savannah,Jackson,GA,2025-01-03T18:40:15-05:00,4,147.52,,false
7000000217,nora_walker27@outlook.com,Nora,Walker,MA,2024-02-16T20:28:51-05:00,2,229.74,,true
7000000218,benjaminscott75@outlook.com,Benjamin,Scott,FL,2024-07-19T12:00:36-05:00,2,74.88,,true
7000000219,victoriaadams44@icloud.com,Victoria,Adams,CT,2025-10-19T17:51:43-05:00,1,42.43,,true
7000000220,lucascampbell@hotmail.com,Lucas,Campbell,WI,2024-03-01T19:04:34-05:00,12,578.67,,true
7000000221,aaliyah_smith@gmail.com,Aaliyah,Smith,IN,2024-06-03T00:19:58-05:00,7,1715.73,,false
7000000222,noahflores86@icloud.com,Noah,Flores,NJ,2024-01-07T19:22:38-05:00,4,966.54,,true
7000000223,chloe_campbell69@gmail.com,Chloe,Campbell,TN,2025-03-16T06:31:36-05:00,1,52.98,,true
7000000224,evelyngonzalez68@outlook.com,Evelyn,Gonzalez,GA,2025-02-10T02:52:37-05:00,2,82.72,,false
7000000225,mateothomas29@gmail.com,Mateo,Thomas,WI,2025-10-27T01:09:12-05:00,1,34.98,,false
7000000226,victoria.walker@yahoo.com,Victoria,Walker,CA,2025-05-26T15:47:53-05:00,1,38.87,,true
7000000227,chloe.williams28@outlook.com,Chloe,Williams,NY,2024-03-17T10:12:29-05:00,8,255.30,,true
7000000228,logan.johnson@icloud.com,Logan,Johnson,CA,2024-11-02T05:54:52-05:00,9,322.01,,false
7000000229,ethancarter@hotmail.com,Ethan,Carter,CT,2024-12-20T01:57:18-05:00,3,277.17,,true
7000000230,elizabethhill77@outlook.com,Elizabeth,Hill,NJ,2025-10-11T09:57:05-05:00,2,179.98,,false
7000000231,jamesthompson49@yahoo.com,James,Thompson,MO,2025-08-22T13:50:16-05:00,5,157.26,,true
7000000232,zoey.jones@icloud.com,Zoey,Jones,IN,2025-10-11T05:37:01-05:00,3,285.95,,true
7000000233,jackson.garcia40@outlook.com,Jackson,Garcia,SC,2024-10-03T03:43:19-05:00,16,587.61,,true
7000000234,michaelscott66@gmail.com,Michael,Scott,NJ,2024-04-01T12:53:08-05:00,1,40.38,,true
7000000235,emma_jackson@hotmail.com,Emma,Jackson,OH,2025-08-08T18:58:22-05:00,1,86.66,,false
7000000236,lucas_moore35@yahoo.com,Lucas,Moore,CA,2024-06-20T15:49:33-05:00,6,540.46,,true
7000000237,ava_white32@hotmail.com,Ava,White,MD,2024-07-19T16:40:12-05:00,2,193.48,,true
7000000238,averyperez49@icloud.com,Avery,Perez,MI,2025-03-16T23:42:12-05:00,1,42.30,,true
7000000239,loganhill26@outlook.com,Logan,Hill,IL,2025-02-11T11:37:10-05:00,1,46.29,,false
7000000240,logan_harris51@gmail.com,Logan,Harris,MN,2024-07-23T21:33:44-05:00,10,931.80,,true
7000000241,norarobinson27@outlook.com,Nora,Robinson,IN,2024-03-11T14:53:47-05:00,2,65.29,,true
7000000242,evelyntaylor20@icloud.com,Evelyn,Taylor,CA,2025-04-04T21:46:12-05:00,4,974.01,,false
