id,amount,amount_refunded,currency,status,created,customer_email,metadata_shopify_order_id,metadata_recharge_charge_id,payment_method_type,failure_code,failure_message
ch_000000000023,3744,0,usd,succeeded,2024-12-12T10:44:39Z,michael_nguyen@icloud.com,5000000023,1000000023,apple_pay,,
ch_000000000024,11769,0,usd,succeeded,2024-02-14T21:47:37Z,sophia.harris46@hotmail.com,5000000024,1000000024,google_pay,,
ch_000000000025,11728,0,usd,succeeded,2024-05-16T21:45:37Z,sophia.harris46@hotmail.com,5000000025,1000000025,apple_pay,,
ch_000000000026,11879,0,usd,succeeded,2024-08-13T21:45:37Z,sophia.harris46@hotmail.com,5000000026,1000000026,google_pay,,
ch_000000000027,11879,0,usd,succeeded,2024-11-10T21:47:37Z,sophia.harris46@hotmail.com,5000000027,1000000027,card,,
ch_000000000028,10999,0,usd,succeeded,2025-02-08T21:47:37Z,sophia.harris46@hotmail.com,5000000028,1000000028,card,,
ch_000000000029,11975,0,usd,succeeded,2025-05-09T21:47:37Z,sophia.harris46@hotmail.com,5000000029,1000000029,apple_pay,,
ch_000000000030,11879,0,usd,succeeded,2025-08-08T21:48:37Z,sophia.harris46@hotmail.com,5000000030,1000000030,card,,
ch_000000000031,3239,0,usd,succeeded,2024-03-14T06:44:06Z,victoriajackson80@hotmail.com,5000000031,,apple_pay,,
ch_000000000032,3981,0,usd,succeeded,2025-01-17T18:00:06Z,james_miller36@outlook.com,5000000032,,card,,
ch_000000000033,19549,0,usd,succeeded,2025-01-24T14:50:42Z,owen.green@yahoo.com,5000000033,1000000031,google_pay,,
ch_000000000034,24609,0,usd,succeeded,2025-04-25T14:51:42Z,owen.green@yahoo.com,5000000034,1000000032,card,,
ch_000000000035,24523,0,usd,succeeded,2025-07-25T14:52:42Z,owen.green@yahoo.com,5000000035,1000000033,card,,
ch_000000000036,22070,0,usd,succeeded,2025-10-23T14:53:42Z,owen.green@yahoo.com,5000000036,1000000034,card,,
ch_000000000037,18456,0,usd,succeeded,2024-10-02T07:25:35Z,savannah.roberts@outlook.com,5000000038,1000000035,card,,
ch_000000000038,25040,0,usd,succeeded,2025-01-01T07:27:35Z,savannah.roberts@outlook.com,5000000039,1000000036,card,,
ch_000000000039,24609,0,usd,succeeded,2025-04-01T07:25:35Z,savannah.roberts@outlook.com,5000000040,1000000037,card,,
ch_000000000040,22999,0,usd,succeeded,2025-07-01T07:25:35Z,savannah.roberts@outlook.com,5000000041,1000000038,card,,
ch_000000000041,24523,0,usd,succeeded,2025-09-26T07:29:35Z,savannah.roberts@outlook.com,5000000042,1000000039,card,,
ch_000000000042,24523,0,usd,succeeded,2025-12-27T07:26:35Z,savannah.roberts@outlook.com,5000000043,1000000040,card,,
ch_000000000043,4543,0,usd,succeeded,2024-05-25T14:00:45Z,jayden_young83@yahoo.com,5000000045,,card,,
ch_000000000044,7348,0,usd,succeeded,2024-04-06T06:43:55Z,riley_sanchez@hotmail.com,5000000046,1000000041,card,,
ch_000000000045,8999,0,usd,succeeded,2024-05-06T06:43:55Z,riley_sanchez@hotmail.com,5000000047,1000000042,google_pay,,
ch_000000000046,9719,0,usd,succeeded,2024-06-02T06:46:55Z,riley_sanchez@hotmail.com,5000000048,1000000043,card,,
ch_000000000047,9798,0,usd,succeeded,2024-07-05T06:47:55Z,riley_sanchez@hotmail.com,5000000049,1000000044,card,,
ch_000000000048,9629,0,usd,succeeded,2024-08-01T06:44:55Z,riley_sanchez@hotmail.com,5000000050,1000000045,apple_pay,,
ch_000000000049,9595,0,usd,succeeded,2024-09-02T06:47:55Z,riley_sanchez@hotmail.com,5000000051,1000000046,apple_pay,,
ch_000000000050,9595,0,usd,failed,2024-09-30T06:44:55Z,riley_sanchez@hotmail.com,,1000000047,card,,
ch_000000000051,9595,0,usd,succeeded,2024-11-02T06:45:55Z,riley_sanchez@hotmail.com,5000000053,1000000048,google_pay,,
ch_000000000052,5397,0,usd,succeeded,2025-04-27T00:17:52Z,laylaramirez9@icloud.com,5000000054,,card,,
ch_000000000053,2399,0,usd,succeeded,2025-03-23T10:48:30Z,layla_wright99@gmail.com,5000000055,1000000049,card,,
ch_000000000054,3209,0,usd,succeeded,2025-04-20T10:49:30Z,layla_wright99@gmail.com,5000000056,1000000050,card,,
ch_000000000055,3265,0,usd,succeeded,2025-05-23T10:46:30Z,layla_wright99@gmail.com,5000000057,1000000051,card,,
ch_000000000056,3265,0,usd,succeeded,2025-06-20T10:47:30Z,layla_wright99@gmail.com,5000000058,1000000052,card,,
ch_000000000057,3265,0,usd,succeeded,2025-07-19T10:46:30Z,layla_wright99@gmail.com,5000000059,1000000053,card,,
ch_000000000058,3239,0,usd,succeeded,2025-08-18T10:47:30Z,layla_wright99@gmail.com,5000000060,1000000054,card,,
ch_000000000059,2939,0,usd,succeeded,2025-09-19T10:45:30Z,layla_wright99@gmail.com,5000000061,1000000055,apple_pay,,
ch_000000000060,3198,0,usd,succeeded,2025-10-18T10:50:30Z,layla_wright99@gmail.com,5000000062,1000000056,apple_pay,,
ch_000000000061,3198,0,usd,succeeded,2025-11-19T10:45:30Z,layla_wright99@gmail.com,5000000063,1000000057,google_pay,,
ch_000000000062,3198,0,usd,succeeded,2025-12-17T10:50:30Z,layla_wright99@gmail.com,5000000064,1000000058,google_pay,,
ch_000000000063,5397,0,usd,succeeded,2024-06-15T00:43:17Z,henrymiller@yahoo.com,5000000066,,card,,
ch_000000000064,4797,0,usd,succeeded,2024-09-07T01:41:24Z,grace.johnson47@yahoo.com,5000000067,1000000059,card,,
ch_000000000065,4408,0,usd,succeeded,2024-10-04T01:44:24Z,grace.johnson47@yahoo.com,5000000068,1000000060,apple_pay,,
ch_000000000066,4332,0,usd,succeeded,2024-11-06T01:42:24Z,grace.johnson47@yahoo.com,5000000069,1000000061,card,,
ch_000000000067,4373,0,usd,succeeded,2024-12-05T01:44:24Z,grace.johnson47@yahoo.com,5000000070,1000000062,apple_pay,,
ch_000000000068,4859,0,usd,failed,2025-01-05T01:39:24Z,grace.johnson47@yahoo.com,,1000000063,card,expired_card,
ch_000000000069,4499,0,usd,succeeded,2025-02-04T01:42:24Z,grace.johnson47@yahoo.com,5000000072,1000000064,apple_pay,,
ch_000000000070,4797,0,usd,failed,2025-03-03T01:41:24Z,grace.johnson47@yahoo.com,,1000000065,card,expired_card,
ch_000000000071,4797,0,usd,succeeded,2025-04-04T01:40:24Z,grace.johnson47@yahoo.com,5000000074,1000000066,card,,
ch_000000000072,2999,0,usd,succeeded,2025-05-03T01:03:03Z,avacarter@yahoo.com,5000000075,1000000067,card,,
ch_000000000073,2999,0,usd,succeeded,2025-06-01T01:04:03Z,avacarter@yahoo.com,5000000076,1000000068,card,,
ch_000000000074,3239,0,usd,succeeded,2025-07-03T01:02:03Z,avacarter@yahoo.com,5000000077,1000000069,card,,
ch_000000000075,3265,0,usd,succeeded,2025-07-31T01:04:03Z,avacarter@yahoo.com,5000000078,1000000070,google_pay,,
ch_000000000076,2808,0,usd,succeeded,2025-10-29T18:36:44Z,sebastiancarter@outlook.com,5000000079,1000000071,apple_pay,,
ch_000000000077,3731,0,usd,succeeded,2025-11-26T18:36:44Z,sebastiancarter@outlook.com,5000000080,1000000072,card,,
ch_000000000078,3731,0,usd,succeeded,2025-12-29T18:38:44Z,sebastiancarter@outlook.com,5000000081,1000000073,apple_pay,,
ch_000000000079,11769,0,usd,succeeded,2024-08-26T02:27:28Z,evelyn.anderson@hotmail.com,5000000083,1000000074,card,,
ch_000000000080,10999,0,usd,succeeded,2024-11-24T02:29:28Z,evelyn.anderson@hotmail.com,5000000084,1000000075,google_pay,,
ch_000000000081,10691,0,usd,succeeded,2025-02-21T02:30:28Z,evelyn.anderson@hotmail.com,5000000085,1000000076,card,,
ch_000000000082,11975,0,usd,succeeded,2025-05-22T02:26:28Z,evelyn.anderson@hotmail.com,5000000086,1000000077,card,,
ch_000000000083,2567,0,usd,succeeded,2024-10-14T22:43:24Z,james.jones@hotmail.com,5000000087,1000000078,card,,
ch_000000000084,3239,0,usd,succeeded,2024-11-14T22:44:24Z,james.jones@hotmail.com,5000000088,1000000079,google_pay,,
ch_000000000085,3265,0,usd,succeeded,2024-12-14T22:45:24Z,james.jones@hotmail.com,5000000089,1000000080,card,,
ch_000000000086,2999,0,usd,succeeded,2025-01-10T22:44:24Z,james.jones@hotmail.com,5000000090,1000000081,card,,
ch_000000000087,3265,0,usd,succeeded,2025-03-17T17:56:58Z,evelyn_walker@gmail.com,5000000091,1000000082,apple_pay,,
ch_000000000088,3198,0,usd,succeeded,2025-04-17T17:56:58Z,evelyn_walker@gmail.com,5000000092,1000000083,card,,
ch_000000000089,3198,0,usd,succeeded,2025-05-17T17:56:58Z,evelyn_walker@gmail.com,5000000093,1000000084,card,,
ch_000000000090,2699,0,usd,succeeded,2025-06-17T17:53:58Z,evelyn_walker@gmail.com,5000000094,1000000085,card,,
ch_000000000091,3265,0,usd,succeeded,2025-07-18T17:54:58Z,evelyn_walker@gmail.com,5000000095,1000000086,google_pay,,
ch_000000000092,9798,0,usd,succeeded,2024-12-14T08:59:42Z,laylaadams@icloud.com,5000000096,,google_pay,,
ch_000000000093,9798,0,usd,succeeded,2025-03-30T01:02:12Z,lucas.ramirez36@yahoo.com,5000000097,,card,,
ch_000000000094,4859,0,usd,succeeded,2025-02-15T07:11:05Z,aaliyah.thomas53@icloud.com,5000000098,1000000087,google_pay,,
ch_000000000095,4499,0,usd,succeeded,2025-03-19T07:09:05Z,aaliyah.thomas53@icloud.com,5000000099,1000000088,apple_pay,,
ch_000000000096,4499,0,usd,succeeded,2025-04-16T07:12:05Z,aaliyah.thomas53@icloud.com,5000000100,1000000089,card,,
ch_000000000097,4898,0,usd,succeeded,2025-05-17T07:10:05Z,aaliyah.thomas53@icloud.com,5000000101,1000000090,card,,
ch_000000000098,4797,0,usd,succeeded,2025-06-15T07:08:05Z,aaliyah.thomas53@icloud.com,5000000102,1000000091,apple_pay,,
ch_000000000099,4859,0,usd,succeeded,2025-07-14T07:12:05Z,aaliyah.thomas53@icloud.com,5000000103,1000000092,card,,
ch_000000000100,4814,0,usd,succeeded,2025-08-14T07:13:05Z,aaliyah.thomas53@icloud.com,5000000104,1000000093,card,,
ch_000000000101,4373,0,usd,succeeded,2025-09-12T07:13:05Z,aaliyah.thomas53@icloud.com,5000000105,1000000094,google_pay,,
ch_000000000102,4499,0,usd,succeeded,2025-10-13T07:08:05Z,aaliyah.thomas53@icloud.com,5000000106,1000000095,card,,
ch_000000000103,2999,0,usd,succeeded,2024-10-30T12:56:34Z,benjamin_robinson55@yahoo.com,5000000107,1000000096,apple_pay,,
ch_000000000104,3239,3239,usd,succeeded,2024-11-30T13:00:34Z,benjamin_robinson55@yahoo.com,5000000108,1000000097,google_pay,,
ch_000000000105,3209,0,usd,succeeded,2024-12-30T12:57:34Z,benjamin_robinson55@yahoo.com,5000000109,1000000098,card,,
ch_000000000106,2999,0,usd,succeeded,2025-01-31T12:55:34Z,benjamin_robinson55@yahoo.com,5000000110,1000000099,card,,
ch_000000000107,7703,0,usd,succeeded,2024-03-26T11:50:56Z,noahbrown@gmail.com,5000000111,,apple_pay,,
ch_000000000108,8636,0,usd,succeeded,2025-03-08T04:59:03Z,averydavis@hotmail.com,5000000112,,card,,
ch_000000000109,22999,0,usd,succeeded,2024-05-18T04:31:07Z,amelianelson@outlook.com,5000000113,,card,,
ch_000000000110,3499,0,usd,succeeded,2024-08-07T23:26:07Z,emmarobinson@gmail.com,5000000114,1000000100,card,,
ch_000000000111,3731,0,usd,succeeded,2024-09-05T23:28:07Z,emmarobinson@gmail.com,5000000115,1000000101,card,,
ch_000000000112,3731,0,usd,succeeded,2024-10-05T23:27:07Z,emmarobinson@gmail.com,5000000116,1000000102,apple_pay,,
ch_000000000113,3499,0,usd,succeeded,2024-11-04T23:25:07Z,emmarobinson@gmail.com,5000000117,1000000103,card,,
ch_000000000114,3810,0,usd,failed,2024-12-04T23:26:07Z,emmarobinson@gmail.com,,1000000104,card,insufficient_funds,
ch_000000000115,3810,0,usd,failed,2025-01-03T23:29:07Z,emmarobinson@gmail.com,,1000000105,google_pay,card_declined,
ch_000000000116,9719,0,usd,succeeded,2024-11-09T03:19:13Z,evelyn_white21@hotmail.com,5000000120,,card,,
ch_000000000117,7775,0,usd,succeeded,2025-07-22T10:44:34Z,penelope.miller@gmail.com,5000000121,1000000106,card,,
ch_000000000118,9595,9595,usd,succeeded,2025-10-21T10:40:34Z,penelope.miller@gmail.com,5000000122,1000000107,card,,
ch_000000000119,7676,0,usd,succeeded,2024-04-08T04:10:36Z,ameliabaker34@outlook.com,5000000124,1000000108,card,,
ch_000000000120,9798,0,usd,succeeded,2024-05-06T04:07:36Z,ameliabaker34@outlook.com,5000000125,1000000109,card,,
ch_000000000121,9719,0,usd,succeeded,2024-06-05T04:05:36Z,ameliabaker34@outlook.com,5000000126,1000000110,card,,
ch_000000000122,9595,0,usd,succeeded,2024-07-05T04:10:36Z,ameliabaker34@outlook.com,5000000127,1000000111,card,,
ch_000000000123,9595,0,usd,succeeded,2024-08-06T04:09:36Z,ameliabaker34@outlook.com,5000000128,1000000112,card,,
ch_000000000124,9719,0,usd,succeeded,2024-09-03T04:10:36Z,ameliabaker34@outlook.com,5000000129,1000000113,card,,
ch_000000000125,8098,0,usd,succeeded,2024-10-02T04:06:36Z,ameliabaker34@outlook.com,5000000130,1000000114,card,,
ch_000000000126,9629,0,usd,succeeded,2024-11-01T04:07:36Z,ameliabaker34@outlook.com,5000000131,1000000115,card,,
ch_000000000127,9595,0,usd,succeeded,2024-12-02T04:10:36Z,ameliabaker34@outlook.com,5000000132,1000000116,card,,
ch_000000000128,9595,0,usd,succeeded,2025-01-01T04:08:36Z,ameliabaker34@outlook.com,5000000133,1000000117,apple_pay,,
ch_000000000129,9798,0,usd,succeeded,2025-01-31T04:08:36Z,ameliabaker34@outlook.com,5000000134,1000000118,card,,
ch_000000000130,9798,0,usd,succeeded,2025-03-04T04:06:36Z,ameliabaker34@outlook.com,5000000135,1000000119,google_pay,,
ch_000000000131,9595,0,usd,succeeded,2025-04-02T04:07:36Z,ameliabaker34@outlook.com,5000000136,1000000120,card,,
ch_000000000132,9719,0,usd,failed,2025-05-02T04:06:36Z,ameliabaker34@outlook.com,,1000000121,google_pay,expired_card,
ch_000000000133,9595,0,usd,failed,2025-05-30T04:05:36Z,ameliabaker34@outlook.com,,1000000122,card,,
ch_000000000134,10999,0,usd,succeeded,2025-03-29T01:08:09Z,emma.perez82@yahoo.com,5000000139,1000000123,apple_pay,,
ch_000000000135,11769,0,usd,succeeded,2025-06-27T01:08:09Z,emma.perez82@yahoo.com,5000000140,1000000124,card,,
ch_000000000136,11769,0,usd,succeeded,2025-09-26T01:10:09Z,emma.perez82@yahoo.com,5000000141,1000000125,card,,
ch_000000000137,10999,0,usd,failed,2025-12-26T01:07:09Z,emma.perez82@yahoo.com,,1000000126,card,insufficient_funds,
ch_000000000138,3810,0,usd,succeeded,2025-07-21T10:28:30Z,ava.hall@outlook.com,5000000144,1000000127,card,,
ch_000000000139,3499,0,usd,succeeded,2025-08-18T10:24:30Z,ava.hall@outlook.com,5000000145,1000000128,card,,
ch_000000000140,3358,0,usd,succeeded,2025-09-17T10:26:30Z,ava.hall@outlook.com,5000000146,1000000129,card,,
ch_000000000141,3731,0,usd,succeeded,2025-10-20T10:24:30Z,ava.hall@outlook.com,5000000147,1000000130,google_pay,,
ch_000000000142,3369,0,usd,succeeded,2025-11-16T10:24:30Z,ava.hall@outlook.com,5000000148,1000000131,card,,
ch_000000000143,3731,0,usd,succeeded,2025-12-18T10:24:30Z,ava.hall@outlook.com,5000000149,1000000132,apple_pay,,
ch_000000000144,9629,0,usd,succeeded,2025-07-28T19:47:44Z,sofia_williams@gmail.com,5000000150,,card,,
ch_000000000145,2799,0,usd,succeeded,2024-09-11T14:45:50Z,aiden_lopez@outlook.com,5000000151,1000000133,card,,
ch_000000000146,3744,0,usd,succeeded,2024-10-14T14:43:50Z,aiden_lopez@outlook.com,5000000152,1000000134,google_pay,,
ch_000000000147,3401,0,usd,succeeded,2024-11-11T14:45:50Z,aiden_lopez@outlook.com,5000000153,1000000135,apple_pay,,
ch_000000000148,3779,3779,usd,succeeded,2024-12-13T14:45:50Z,aiden_lopez@outlook.com,5000000154,1000000136,card,,
ch_000000000149,2808,0,usd,succeeded,2024-08-21T13:07:59Z,olivia.walker26@outlook.com,5000000155,1000000137,card,,
ch_000000000150,3779,0,usd,succeeded,2024-09-22T13:09:59Z,olivia.walker26@outlook.com,5000000156,1000000138,card,,
ch_000000000151,3499,0,usd,succeeded,2024-10-22T13:07:59Z,olivia.walker26@outlook.com,5000000157,1000000139,google_pay,,
ch_000000000152,3779,0,usd,succeeded,2024-11-22T13:11:59Z,olivia.walker26@outlook.com,5000000158,1000000140,google_pay,,
ch_000000000153,3810,0,usd,succeeded,2024-12-22T13:08:59Z,olivia.walker26@outlook.com,5000000159,1000000141,google_pay,,
ch_000000000154,3369,0,usd,succeeded,2025-01-21T13:11:59Z,olivia.walker26@outlook.com,5000000160,1000000142,apple_pay,,
ch_000000000155,3810,0,usd,succeeded,2025-02-19T13:11:59Z,olivia.walker26@outlook.com,5000000161,1000000143,google_pay,,
ch_000000000156,4092,0,usd,succeeded,2025-06-05T19:33:06Z,elizabeth.moore99@outlook.com,5000000162,1000000144,apple_pay,,
ch_000000000157,4814,0,usd,succeeded,2025-07-08T19:34:06Z,elizabeth.moore99@outlook.com,5000000163,1000000145,card,,
ch_000000000158,4898,0,usd,succeeded,2025-08-04T19:36:06Z,elizabeth.moore99@outlook.com,5000000164,1000000146,card,,
ch_000000000159,4797,0,usd,succeeded,2025-09-04T19:37:06Z,elizabeth.moore99@outlook.com,5000000165,1000000147,google_pay,,
ch_000000000160,4859,0,usd,succeeded,2025-10-05T19:35:06Z,elizabeth.moore99@outlook.com,5000000166,1000000148,card,,
ch_000000000161,4859,0,usd,failed,2025-11-02T19:37:06Z,elizabeth.moore99@outlook.com,,1000000149,card,,
ch_000000000162,4814,0,usd,succeeded,2025-12-04T19:35:06Z,elizabeth.moore99@outlook.com,5000000168,1000000150,card,,
ch_000000000163,7838,7838,usd,succeeded,2025-09-05T20:50:19Z,isabella.taylor75@gmail.com,5000000170,,card,,
ch_000000000164,11728,0,usd,succeeded,2025-03-22T05:04:41Z,owen.allen@outlook.com,5000000171,1000000151,card,,
ch_000000000165,11728,0,usd,succeeded,2025-06-21T05:06:41Z,owen.allen@outlook.com,5000000172,1000000152,card,,
ch_000000000166,11975,0,usd,succeeded,2025-09-18T05:07:41Z,owen.allen@outlook.com,5000000173,1000000153,card,,
ch_000000000167,10999,0,usd,succeeded,2025-12-18T05:08:41Z,owen.allen@outlook.com,5000000174,1000000154,card,,
ch_000000000168,4530,0,usd,succeeded,2024-11-04T23:32:49Z,ellajones43@gmail.com,5000000176,,apple_pay,,
ch_000000000169,2249,0,usd,succeeded,2025-01-26T11:21:10Z,avery_hall@yahoo.com,5000000177,,google_pay,,
ch_000000000170,2888,0,usd,succeeded,2025-09-15T04:51:13Z,victoria_smith@icloud.com,5000000178,1000000155,card,,
ch_000000000171,3209,0,usd,succeeded,2025-10-16T04:50:13Z,victoria_smith@icloud.com,5000000179,1000000156,apple_pay,,
ch_000000000172,2999,1268,usd,succeeded,2025-11-16T04:55:13Z,victoria_smith@icloud.com,5000000180,1000000157,card,,
ch_000000000173,2727,0,usd,succeeded,2025-06-12T04:07:40Z,laylawilson@gmail.com,5000000181,1000000158,card,,
ch_000000000174,3265,0,usd,succeeded,2025-07-15T04:07:40Z,laylawilson@gmail.com,5000000182,1000000159,card,,
ch_000000000175,3810,0,usd,succeeded,2024-09-07T22:17:57Z,layla.martin@gmail.com,5000000183,,card,,
ch_000000000176,11879,0,usd,succeeded,2024-09-07T10:25:22Z,jacobgreen25@icloud.com,5000000184,1000000160,card,,
ch_000000000177,10999,0,usd,succeeded,2024-12-07T10:22:22Z,jacobgreen25@icloud.com,5000000185,1000000161,card,,
ch_000000000178,10999,0,usd,succeeded,2025-03-08T10:24:22Z,jacobgreen25@icloud.com,5000000186,1000000162,card,,
ch_000000000179,10555,0,usd,succeeded,2025-06-06T10:25:22Z,jacobgreen25@icloud.com,5000000187,1000000163,card,,
ch_000000000180,24839,0,usd,succeeded,2024-09-14T09:26:06Z,savannah.ramirez23@gmail.com,5000000188,1000000164,card,,
ch_000000000181,22999,0,usd,succeeded,2024-12-14T09:26:06Z,savannah.ramirez23@gmail.com,5000000189,1000000165,card,,
ch_000000000182,25040,0,usd,succeeded,2025-03-13T09:30:06Z,savannah.ramirez23@gmail.com,5000000190,1000000166,card,,
ch_000000000183,24609,0,usd,succeeded,2025-06-10T09:26:06Z,savannah.ramirez23@gmail.com,5000000191,1000000167,apple_pay,,
ch_000000000184,24839,0,usd,succeeded,2025-09-10T09:28:06Z,savannah.ramirez23@gmail.com,5000000192,1000000168,google_pay,,
ch_000000000185,24609,0,usd,succeeded,2025-12-07T09:29:06Z,savannah.ramirez23@gmail.com,5000000193,1000000169,card,,
ch_000000000186,3744,0,usd,succeeded,2024-06-11T22:21:56Z,aaliyahlewis93@hotmail.com,5000000195,1000000170,card,,
ch_000000000187,3744,0,usd,succeeded,2024-07-13T22:20:56Z,aaliyahlewis93@hotmail.com,5000000196,1000000171,apple_pay,,
ch_000000000188,3779,0,usd,succeeded,2024-08-11T22:17:56Z,aaliyahlewis93@hotmail.com,5000000197,1000000172,card,,
ch_000000000189,3810,0,usd,succeeded,2024-09-09T22:17:56Z,aaliyahlewis93@hotmail.com,5000000198,1000000173,apple_pay,,
ch_000000000190,3810,0,usd,succeeded,2024-10-11T22:17:56Z,aaliyahlewis93@hotmail.com,5000000199,1000000174,card,,
ch_000000000191,3149,0,usd,succeeded,2024-11-08T22:18:56Z,aaliyahlewis93@hotmail.com,5000000200,1000000175,apple_pay,,
ch_000000000192,3779,0,usd,succeeded,2024-12-10T22:16:56Z,aaliyahlewis93@hotmail.com,5000000201,1000000176,apple_pay,,
ch_000000000193,3744,0,usd,succeeded,2025-01-09T22:19:56Z,aaliyahlewis93@hotmail.com,5000000202,1000000177,google_pay,,
ch_000000000194,3779,0,usd,succeeded,2025-02-08T22:19:56Z,aaliyahlewis93@hotmail.com,5000000203,1000000178,card,,
ch_000000000195,3149,0,usd,succeeded,2025-03-08T22:18:56Z,aaliyahlewis93@hotmail.com,5000000204,1000000179,card,,
ch_000000000196,3779,0,usd,succeeded,2025-04-10T22:20:56Z,aaliyahlewis93@hotmail.com,5000000205,1000000180,apple_pay,,
ch_000000000197,4578,0,usd,succeeded,2024-03-22T15:28:10Z,savannahroberts@outlook.com,5000000206,,card,,
ch_000000000198,3779,0,usd,succeeded,2024-06-07T12:48:23Z,sebastian.garcia@icloud.com,5000000207,1000000181,apple_pay,,
ch_000000000199,3779,0,usd,succeeded,2024-07-08T12:47:23Z,sebastian.garcia@icloud.com,5000000208,1000000182,card,,
ch_000000000200,3810,0,usd,succeeded,2024-08-05T12:47:23Z,sebastian.garcia@icloud.com,5000000209,1000000183,card,,
ch_000000000201,3810,0,usd,succeeded,2024-09-04T12:52:23Z,sebastian.garcia@icloud.com,5000000210,1000000184,google_pay,,
ch_000000000202,3499,3499,usd,succeeded,2024-10-05T12:52:23Z,sebastian.garcia@icloud.com,5000000211,1000000185,card,,
ch_000000000203,3731,0,usd,succeeded,2024-11-03T12:52:23Z,sebastian.garcia@icloud.com,5000000212,1000000186,google_pay,,
ch_000000000204,3779,0,usd,failed,2024-12-04T12:48:23Z,sebastian.garcia@icloud.com,,1000000187,card,insufficient_funds,
ch_000000000205,3779,0,usd,failed,2025-01-03T12:51:23Z,sebastian.garcia@icloud.com,,1000000188,google_pay,card_declined,
ch_000000000206,3731,0,usd,succeeded,2025-02-02T12:50:23Z,sebastian.garcia@icloud.com,5000000215,1000000189,apple_pay,,
ch_000000000207,3428,0,usd,succeeded,2025-03-03T12:51:23Z,sebastian.garcia@icloud.com,5000000216,1000000190,card,,
ch_000000000208,3499,0,usd,succeeded,2025-04-01T12:48:23Z,sebastian.garcia@icloud.com,5000000217,1000000191,card,,
ch_000000000209,3149,0,usd,succeeded,2025-05-04T12:50:23Z,sebastian.garcia@icloud.com,5000000218,1000000192,apple_pay,,
ch_000000000210,3198,0,usd,succeeded,2025-08-24T05:42:40Z,sebastian_robinson@icloud.com,5000000219,1000000193,apple_pay,,
ch_000000000211,3265,0,usd,succeeded,2025-09-20T05:44:40Z,sebastian_robinson@icloud.com,5000000220,1000000194,card,,
ch_000000000212,3209,0,usd,succeeded,2025-10-23T05:45:40Z,sebastian_robinson@icloud.com,5000000221,1000000195,google_pay,,
