id,order_number,customer_id,email,created_at,financial_status,fulfillment_status,subtotal_price,total_tax,total_shipping,total_price,total_discounts,discount_codes,source_name,landing_site,referring_site,cancel_reason,cancelled_at,tags,billing_address_province
5000000011,10011,7000000001,camila.davis95@yahoo.com,2025-03-21T03:43:54-05:00,paid,fulfilled,44.99,3.60,0.00,48.59,0.00,,subscription_contract,/,,,,subscription,OH
5000000012,10012,7000000001,camila.davis95@yahoo.com,2025-04-18T03:43:54-05:00,paid,fulfilled,44.99,3.99,0.00,48.98,0.00,,subscription_contract,/,,,,subscription,OH
5000000013,10013,7000000001,camila.davis95@yahoo.com,2025-05-19T03:43:54-05:00,paid,fulfilled,44.99,3.99,0.00,48.98,0.00,,subscription_contract,/,,,,subscription,OH
5000000014,10014,7000000001,camila.davis95@yahoo.com,2025-06-18T03:43:54-05:00,paid,fulfilled,44.99,3.99,0.00,48.98,0.00,,subscription_contract,/,,,,subscription,OH
5000000015,10015,7000000001,camila.davis95@yahoo.com,2025-07-18T03:43:54-05:00,paid,fulfilled,44.99,3.60,0.00,48.59,0.00,,subscription_contract,/?utm_source=organic&utm_medium=search,,,,subscription,OH
5000000016,10016,7000000001,camila.davis95@yahoo.com,2025-08-16T03:43:54-05:00,paid,fulfilled,44.99,2.98,0.00,47.97,0.00,,subscription_contract,/,,,,subscription,OH
5000000017,10017,7000000001,camila.davis95@yahoo.com,2025-09-17T03:43:54-05:00,paid,fulfilled,44.99,3.15,0.00,48.14,0.00,,subscription_contract,/?utm_source=organic&utm_medium=search,,,,subscription,OH
5000000018,10018,7000000002,olivia.johnson@hotmail.com,2024-01-31T20:26:03-05:00,paid,fulfilled,89.99,0.00,0.00,89.99,0.00,,web,/?utm_source=google&utm_medium=paid,,,,subscription,MD
5000000019,10019,7000000002,olivia.johnson@hotmail.com,2024-03-01T20:26:03-05:00,paid,fulfilled,89.99,0.00,0.00,89.99,0.00,,subscription_contract,/,,,,subscription,MD
5000000020,10020,7000000002,olivia.johnson@hotmail.com,2024-03-28T20:26:03-05:00,paid,fulfilled,89.99,7.20,0.00,97.19,0.00,,subscription_contract,/,,,,subscription,MD
5000000021,10021,7000000003,michael_nguyen@icloud.com,2024-10-14T05:39:39-05:00,paid,fulfilled,34.99,3.11,0.00,38.10,0.00,,web,/?utm_source=google&utm_medium=paid,,,,subscription,MI
5000000022,10022,7000000003,michael_nguyen@icloud.com,2024-11-13T05:39:39-05:00,paid,fulfilled,34.99,3.11,0.00,38.10,0.00,,subscription_contract,/,,,,subscription,MI
5000000023,10023,7000000003,michael_nguyen@icloud.com,2024-12-12T05:39:39-05:00,paid,fulfilled,34.99,2.45,0.00,37.44,0.00,,subscription_contract,/,,,,subscription,MI
5000000024,10024,7000000004,sophia.harris46@hotmail.com,2024-02-14T16:43:37-05:00,paid,fulfilled,109.99,7.70,0.00,117.69,0.00,,web,/?utm_source=organic&utm_medium=search,,,,subscription,GA
5000000025,10025,7000000004,sophia.harris46@hotmail.com,2024-05-16T16:43:37-05:00,paid,fulfilled,109.99,7.29,0.00,117.28,0.00,,subscription_contract,/,,,,subscription,GA
5000000026,10026,7000000004,sophia.harris46@hotmail.com,2024-08-13T16:43:37-05:00,paid,fulfilled,109.99,8.80,0.00,118.79,0.00,,subscription_contract,/,,,,subscription,GA
5000000027,10027,7000000004,sophia.harris46@hotmail.com,2024-11-10T16:43:37-05:00,paid,fulfilled,109.99,8.80,0.00,118.79,0.00,,subscription_contract,/?utm_source=organic&utm_medium=search,,,,subscription,GA
5000000028,10028,7000000004,sophia.harris46@hotmail.com,2025-02-08T16:43:37-05:00,paid,fulfilled,109.99,0.00,0.00,109.99,0.00,,subscription_contract,/,,,,subscription,GA
5000000029,10029,7000000004,sophia.harris46@hotmail.com,2025-05-09T16:43:37-05:00,paid,fulfilled,109.99,9.76,0.00,119.75,0.00,,subscription_contract,/,,,,subscription,GA
5000000030,10030,7000000004,sophia.harris46@hotmail.com,2025-08-08T16:43:37-05:00,paid,fulfilled,109.99,8.80,0.00,118.79,0.00,,subscription_contract,/?utm_source=organic&utm_medium=search,,,,subscription,GA
5000000031,10031,7000000005,victoriajackson80@hotmail.com,2024-03-14T01:40:06-05:00,paid,fulfilled,29.99,2.40,0.00,32.39,0.00,,web,/?utm_source=organic&utm_medium=search,,,,,PA
5000000032,10032,7000000006,james_miller36@outlook.com,2025-01-17T12:56:06-05:00,paid,fulfilled,29.74,2.08,7.99,39.81,5.25,TRYDEW,web,/?utm_source=google&utm_medium=paid,,,,,IL
5000000033,10033,7000000007,owen.green@yahoo.com,2025-01-24T09:49:42-05:00,paid,fulfilled,195.49,0.00,0.00,195.49,34.50,WELCOME10,web,/?utm_source=influencer&utm_medium=none,,,,subscription,CO
5000000034,10034,7000000007,owen.green@yahoo.com,2025-04-25T09:49:42-05:00,paid,fulfilled,229.99,16.10,0.00,246.09,0.00,,subscription_contract,/?utm_source=influencer&utm_medium=none,,,,subscription,CO
5000000035,10035,7000000007,owen.green@yahoo.com,2025-07-25T09:49:42-05:00,paid,fulfilled,229.99,15.24,0.00,245.23,0.00,,subscription_contract,/,,,,subscription,CO
5000000036,10036,7000000007,owen.green@yahoo.com,2025-10-23T09:49:42-05:00,paid,fulfilled,206.99,13.71,0.00,220.70,23.00,SAVE10,subscription_contract,/,,,,subscription,CO
5000000038,10038,7000000008,savannah.roberts@outlook.com,2024-10-02T02:24:35-05:00,paid,fulfilled,172.49,12.07,0.00,184.56,57.50,TRYDEW,web,/?utm_source=google&utm_medium=paid,,,,subscription,AZ
5000000039,10039,7000000008,savannah.roberts@outlook.com,2025-01-01T02:24:35-05:00,paid,fulfilled,229.99,20.41,0.00,250.40,0.00,,subscription_contract,/,,,,subscription,AZ
5000000040,10040,7000000008,savannah.roberts@outlook.com,2025-04-01T02:24:35-05:00,paid,fulfilled,229.99,16.10,0.00,246.09,0.00,,subscription_contract,/,,,,subscription,AZ
5000000041,10041,7000000008,savannah.roberts@outlook.com,2025-07-01T02:24:35-05:00,paid,fulfilled,229.99,0.00,0.00,229.99,0.00,,subscription_contract,/?utm_source=google&utm_medium=paid,,,,subscription,AZ
5000000042,10042,7000000008,savannah.roberts@outlook.com,2025-09-26T02:24:35-05:00,paid,fulfilled,229.99,15.24,0.00,245.23,0.00,,subscription_contract,/,,,,subscription,AZ
5000000043,10043,7000000008,savannah.roberts@outlook.com,2025-12-27T02:24:35-05:00,paid,fulfilled,229.99,15.24,0.00,245.23,0.00,,subscription_contract,/,,,,subscription,AZ
5000000045,10045,7000000009,jayden_young83@yahoo.com,2024-05-25T08:58:45-05:00,paid,fulfilled,34.99,2.45,7.99,45.43,0.00,,web,/?utm_source=direct&utm_medium=none,,,,,GA
5000000046,10046,7000000010,riley_sanchez@hotmail.com,2024-04-06T01:42:55-05:00,paid,fulfilled,67.49,5.99,0.00,73.48,22.50,TRYDEW,web,/?utm_source=email&utm_medium=none,,,,subscription,VA
5000000047,10047,7000000010,riley_sanchez@hotmail.com,2024-05-06T01:42:55-05:00,paid,fulfilled,89.99,0.00,0.00,89.99,0.00,,subscription_contract,/,,,,subscription,VA
5000000048,10048,7000000010,riley_sanchez@hotmail.com,2024-06-02T01:42:55-05:00,paid,fulfilled,89.99,7.20,0.00,97.19,0.00,,subscription_contract,/,,,,subscription,VA
5000000049,10049,7000000010,riley_sanchez@hotmail.com,2024-07-05T01:42:55-05:00,paid,fulfilled,89.99,7.99,0.00,97.98,0.00,,subscription_contract,/,,,,subscription,VA
5000000050,10050,7000000010,riley_sanchez@hotmail.com,2024-08-01T01:42:55-05:00,paid,fulfilled,89.99,6.30,0.00,96.29,0.00,,subscription_contract,/,,,,subscription,VA
5000000051,10051,7000000010,riley_sanchez@hotmail.com,2024-09-02T01:42:55-05:00,paid,fulfilled,89.99,5.96,0.00,95.95,0.00,,subscription_contract,/,,,,subscription,VA
5000000052,10052,7000000010,riley_sanchez@hotmail.com,2024-09-30T01:42:55-05:00,pending,unfulfilled,89.99,5.96,0.00,95.95,0.00,,subscription_contract,/?utm_source=email&utm_medium=none,,,,subscription,VA
5000000053,10053,7000000010,riley_sanchez@hotmail.com,2024-11-02T01:42:55-05:00,paid,fulfilled,89.99,5.96,0.00,95.95,0.00,,subscription_contract,/,,,,subscription,VA
5000000054,10054,7000000011,laylaramirez9@icloud.com,2025-04-26T19:15:52-05:00,paid,fulfilled,44.99,3.99,4.99,53.97,0.00,,web,/?utm_source=meta&utm_medium=paid,,,,,MD
5000000055,10055,7000000012,layla_wright99@gmail.com,2025-03-23T05:45:30-05:00,paid,fulfilled,23.99,0.00,0.00,23.99,6.00,FIRST25,web,/?utm_source=tiktok&utm_medium=paid,,,,subscription,NC
5000000056,10056,7000000012,layla_wright99@gmail.com,2025-04-20T05:45:30-05:00,paid,fulfilled,29.99,2.10,0.00,32.09,0.00,,subscription_contract,/,,,,subscription,NC
5000000057,10057,7000000012,layla_wright99@gmail.com,2025-05-23T05:45:30-05:00,paid,fulfilled,29.99,2.66,0.00,32.65,0.00,,subscription_contract,/?utm_source=tiktok&utm_medium=paid,,,,subscription,NC
5000000058,10058,7000000012,layla_wright99@gmail.com,2025-06-20T05:45:30-05:00,paid,fulfilled,29.99,2.66,0.00,32.65,0.00,,subscription_contract,/,,,,subscription,NC
5000000059,10059,7000000012,layla_wright99@gmail.com,2025-07-19T05:45:30-05:00,paid,fulfilled,29.99,2.66,0.00,32.65,0.00,,subscription_contract,/?utm_source=tiktok&utm_medium=paid,,,,subscription,NC
5000000060,10060,7000000012,layla_wright99@gmail.com,2025-08-18T05:45:30-05:00,paid,fulfilled,29.99,2.40,0.00,32.39,0.00,,subscription_contract,/?utm_source=tiktok&utm_medium=paid,,,,subscription,NC
5000000061,10061,7000000012,layla_wright99@gmail.com,2025-09-19T05:45:30-05:00,paid,fulfilled,26.99,2.40,0.00,29.39,3.00,COMEBACK10,subscription_contract,/?utm_source=tiktok&utm_medium=paid,,,,subscription,NC
5000000062,10062,7000000012,layla_wright99@gmail.com,2025-10-18T05:45:30-05:00,paid,fulfilled,29.99,1.99,0.00,31.98,0.00,,subscription_contract,/?utm_source=tiktok&utm_medium=paid,,,,subscription,NC
5000000063,10063,7000000012,layla_wright99@gmail.com,2025-11-19T05:45:30-05:00,paid,fulfilled,29.99,1.99,0.00,31.98,0.00,,subscription_contract,/?utm_source=tiktok&utm_medium=paid,,,,subscription,NC
5000000064,10064,7000000012,layla_wright99@gmail.com,2025-12-17T05:45:30-05:00,paid,fulfilled,29.99,1.99,0.00,31.98,0.00,,subscription_contract,/,,,,subscription,NC
5000000066,10066,7000000013,henrymiller@yahoo.com,2024-06-14T19:38:17-05:00,paid,fulfilled,44.99,3.99,4.99,53.97,0.00,,web,/?utm_source=referral&utm_medium=none,,,,,WA
5000000067,10067,7000000014,grace.johnson47@yahoo.com,2024-09-06T20:39:24-05:00,paid,fulfilled,44.99,2.98,0.00,47.97,0.00,,web,/?utm_source=referral&utm_medium=none,,,,subscription,NY
5000000068,10068,7000000014,grace.johnson47@yahoo.com,2024-10-03T20:39:24-05:00,paid,fulfilled,40.49,3.59,0.00,44.08,4.50,SAVE10,subscription_contract,/?utm_source=referral&utm_medium=none,,,,subscription,NY
5000000069,10069,7000000014,grace.johnson47@yahoo.com,2024-11-05T20:39:24-05:00,paid,fulfilled,40.49,2.83,0.00,43.32,4.50,LOYAL10,subscription_contract,/?utm_source=referral&utm_medium=none,,,,subscription,NY
5000000070,10070,7000000014,grace.johnson47@yahoo.com,2024-12-04T20:39:24-05:00,paid,fulfilled,40.49,3.24,0.00,43.73,4.50,LOYAL10,subscription_contract,/,,,,subscription,NY
5000000071,10071,7000000014,grace.johnson47@yahoo.com,2025-01-04T20:39:24-05:00,pending,unfulfilled,44.99,3.60,0.00,48.59,0.00,,subscription_contract,/,,,,subscription,NY
5000000072,10072,7000000014,grace.johnson47@yahoo.com,2025-02-03T20:39:24-05:00,paid,fulfilled,44.99,0.00,0.00,44.99,0.00,,subscription_contract,/?utm_source=referral&utm_medium=none,,,,subscription,NY
5000000073,10073,7000000014,grace.johnson47@yahoo.com,2025-03-02T20:39:24-05:00,pending,unfulfilled,44.99,2.98,0.00,47.97,0.00,,subscription_contract,/?utm_source=referral&utm_medium=none,,,,subscription,NY
5000000074,10074,7000000014,grace.johnson47@yahoo.com,2025-04-03T20:39:24-05:00,paid,fulfilled,44.99,2.98,0.00,47.97,0.00,,subscription_contract,/,,,,subscription,NY
5000000075,10075,7000000015,avacarter@yahoo.com,2025-05-02T20:01:03-05:00,paid,fulfilled,29.99,0.00,0.00,29.99,0.00,,web,/?utm_source=google&utm_medium=paid,,,,subscription,MO
5000000076,10076,7000000015,avacarter@yahoo.com,2025-05-31T20:01:03-05:00,paid,fulfilled,29.99,0.00,0.00,29.99,0.00,,subscription_contract,/,,,,subscription,MO
5000000077,10077,7000000015,avacarter@yahoo.com,2025-07-02T20:01:03-05:00,paid,fulfilled,29.99,2.40,0.00,32.39,0.00,,subscription_contract,/?utm_source=google&utm_medium=paid,,,,subscription,MO
5000000078,10078,7000000015,avacarter@yahoo.com,2025-07-30T20:01:03-05:00,paid,fulfilled,29.99,2.66,0.00,32.65,0.00,,subscription_contract,/?utm_source=google&utm_medium=paid,,,,subscription,MO
5000000079,10079,7000000016,sebastiancarter@outlook.com,2025-10-29T13:35:44-05:00,paid,fulfilled,26.24,1.84,0.00,28.08,8.75,WELCOME10,web,/?utm_source=tiktok&utm_medium=paid,,,,subscription,AZ
5000000080,10080,7000000016,sebastiancarter@outlook.com,2025-11-26T13:35:44-05:00,paid,fulfilled,34.99,2.32,0.00,37.31,0.00,,subscription_contract,/,,,,subscription,AZ
5000000081,10081,7000000016,sebastiancarter@outlook.com,2025-12-29T13:35:44-05:00,paid,fulfilled,34.99,2.32,0.00,37.31,0.00,,subscription_contract,/,,,,subscription,AZ
5000000083,10083,7000000017,evelyn.anderson@hotmail.com,2024-08-25T21:25:28-05:00,paid,fulfilled,109.99,7.70,0.00,117.69,0.00,,web,/?utm_source=meta&utm_medium=paid,,,,subscription,OR
5000000084,10084,7000000017,evelyn.anderson@hotmail.com,2024-11-23T21:25:28-05:00,paid,fulfilled,109.99,0.00,0.00,109.99,0.00,,subscription_contract,/,,,,subscription,OR
5000000085,10085,7000000017,evelyn.anderson@hotmail.com,2025-02-20T21:25:28-05:00,paid,fulfilled,98.99,7.92,0.00,106.91,11.00,SAVE10,subscription_contract,/,,,,subscription,OR
5000000086,10086,7000000017,evelyn.anderson@hotmail.com,2025-05-21T21:25:28-05:00,paid,fulfilled,109.99,9.76,0.00,119.75,0.00,,subscription_contract,/,,,,subscription,OR
5000000087,10087,7000000018,james.jones@hotmail.com,2024-10-14T17:40:24-05:00,paid,fulfilled,23.99,1.68,0.00,25.67,6.00,TRYDEW,web,/?utm_source=google&utm_medium=paid,,,,subscription,OH
5000000088,10088,7000000018,james.jones@hotmail.com,2024-11-14T17:40:24-05:00,paid,fulfilled,29.99,2.40,0.00,32.39,0.00,,subscription_contract,/?utm_source=google&utm_medium=paid,,,,subscription,OH
5000000089,10089,7000000018,james.jones@hotmail.com,2024-12-14T17:40:24-05:00,paid,fulfilled,29.99,2.66,0.00,32.65,0.00,,subscription_contract,/,,,,subscription,OH
5000000090,10090,7000000018,james.jones@hotmail.com,2025-01-10T17:40:24-05:00,paid,fulfilled,29.99,0.00,0.00,29.99,0.00,,subscription_contract,/?utm_source=google&utm_medium=paid,,,,subscription,OH
5000000091,10091,7000000019,evelyn_walker@gmail.com,2025-03-17T12:53:58-05:00,paid,fulfilled,29.99,2.66,0.00,32.65,0.00,,web,/?utm_source=tiktok&utm_medium=paid,,,,subscription,MO
5000000092,10092,7000000019,evelyn_walker@gmail.com,2025-04-17T12:53:58-05:00,paid,fulfilled,29.99,1.99,0.00,31.98,0.00,,subscription_contract,/,,,,subscription,MO
5000000093,10093,7000000019,evelyn_walker@gmail.com,2025-05-17T12:53:58-05:00,paid,fulfilled,29.99,1.99,0.00,31.98,0.00,,subscription_contract,/?utm_source=tiktok&utm_medium=paid,,,,subscription,MO
5000000094,10094,7000000019,evelyn_walker@gmail.com,2025-06-17T12:53:58-05:00,paid,fulfilled,26.99,0.00,0.00,26.99,3.00,SAVE10,subscription_contract,/,,,,subscription,MO
5000000095,10095,7000000019,evelyn_walker@gmail.com,2025-07-18T12:53:58-05:00,paid,fulfilled,29.99,2.66,0.00,32.65,0.00,,subscription_contract,/?utm_source=tiktok&utm_medium=paid,,,,subscription,MO
5000000096,10096,7000000020,laylaadams@icloud.com,2024-12-14T03:58:42-05:00,paid,fulfilled,89.99,7.99,0.00,97.98,0.00,,web,/?utm_source=meta&utm_medium=paid,,,,,CT
5000000097,10097,7000000021,lucas.ramirez36@yahoo.com,2025-03-29T20:02:12-05:00,paid,fulfilled,89.99,7.99,0.00,97.98,0.00,,web,/?utm_source=google&utm_medium=paid,,,,,CA
5000000098,10098,7000000022,aaliyah.thomas53@icloud.com,2025-02-15T02:08:05-05:00,paid,fulfilled,44.99,3.60,0.00,48.59,0.00,,web,/?utm_source=google&utm_medium=paid,,,,subscription,PA
5000000099,10099,7000000022,aaliyah.thomas53@icloud.com,2025-03-19T02:08:05-05:00,paid,fulfilled,44.99,0.00,0.00,44.99,0.00,,subscription_contract,/,,,,subscription,PA
5000000100,10100,7000000022,aaliyah.thomas53@icloud.com,2025-04-16T02:08:05-05:00,paid,fulfilled,44.99,0.00,0.00,44.99,0.00,,subscription_contract,/?utm_source=google&utm_medium=paid,,,,subscription,PA
5000000101,10101,7000000022,aaliyah.thomas53@icloud.com,2025-05-17T02:08:05-05:00,paid,fulfilled,44.99,3.99,0.00,48.98,0.00,,subscription_contract,/,,,,subscription,PA
5000000102,10102,7000000022,aaliyah.thomas53@icloud.com,2025-06-15T02:08:05-05:00,paid,fulfilled,44.99,2.98,0.00,47.97,0.00,,subscription_contract,/,,,,subscription,PA
5000000103,10103,7000000022,aaliyah.thomas53@icloud.com,2025-07-14T02:08:05-05:00,paid,fulfilled,44.99,3.60,0.00,48.59,0.00,,subscription_contract,/?utm_source=google&utm_medium=paid,,,,subscription,PA
5000000104,10104,7000000022,aaliyah.thomas53@icloud.com,2025-08-14T02:08:05-05:00,paid,fulfilled,44.99,3.15,0.00,48.14,0.00,,subscription_contract,/,,,,subscription,PA
5000000105,10105,7000000022,aaliyah.thomas53@icloud.com,2025-09-12T02:08:05-05:00,paid,fulfilled,40.49,3.24,0.00,43.73,4.50,COMEBACK10,subscription_contract,/,,,,subscription,PA
5000000106,10106,7000000022,aaliyah.thomas53@icloud.com,2025-10-13T02:08:05-05:00,paid,fulfilled,44.99,0.00,0.00,44.99,0.00,,subscription_contract,/?utm_source=google&utm_medium=paid,,,,subscription,PA
5000000107,10107,7000000023,benjamin_robinson55@yahoo.com,2024-10-30T07:55:34-05:00,paid,fulfilled,29.99,0.00,0.00,29.99,0.00,,web,/?utm_source=influencer&utm_medium=none,,,,subscription,PA
5000000108,10108,7000000023,benjamin_robinson55@yahoo.com,2024-11-30T07:55:34-05:00,refunded,fulfilled,29.99,2.40,0.00,32.39,0.00,,subscription_contract,/,,,,subscription,PA
5000000109,10109,7000000023,benjamin_robinson55@yahoo.com,2024-12-30T07:55:34-05:00,paid,fulfilled,29.99,2.10,0.00,32.09,0.00,,subscription_contract,/,,,,subscription,PA
5000000110,10110,7000000023,benjamin_robinson55@yahoo.com,2025-01-31T07:55:34-05:00,paid,fulfilled,29.99,0.00,0.00,29.99,0.00,,subscription_contract,/?utm_source=influencer&utm_medium=none,,,,subscription,PA
5000000111,10111,7000000024,noahbrown@gmail.com,2024-03-26T06:45:56-05:00,paid,fulfilled,71.99,5.04,0.00,77.03,18.00,WELCOME15,web,/?utm_source=google&utm_medium=paid,,,,,TN
5000000112,10112,7000000025,averydavis@hotmail.com,2025-03-07T23:56:03-05:00,paid,fulfilled,80.99,5.37,0.00,86.36,9.00,FIRST25,web,/?utm_source=organic&utm_medium=search,,,,,CA
5000000113,10113,7000000026,amelianelson@outlook.com,2024-05-17T23:30:07-05:00,paid,fulfilled,229.99,0.00,0.00,229.99,0.00,,web,/?utm_source=meta&utm_medium=paid,,,,,AZ
5000000114,10114,7000000027,emmarobinson@gmail.com,2024-08-07T18:25:07-05:00,paid,fulfilled,34.99,0.00,0.00,34.99,0.00,,web,/?utm_source=meta&utm_medium=paid,,,,subscription,OR
5000000115,10115,7000000027,emmarobinson@gmail.com,2024-09-05T18:25:07-05:00,paid,fulfilled,34.99,2.32,0.00,37.31,0.00,,subscription_contract,/?utm_source=meta&utm_medium=paid,,,,subscription,OR
5000000116,10116,7000000027,emmarobinson@gmail.com,2024-10-05T18:25:07-05:00,paid,fulfilled,34.99,2.32,0.00,37.31,0.00,,subscription_contract,/,,,,subscription,OR
5000000117,10117,7000000027,emmarobinson@gmail.com,2024-11-04T18:25:07-05:00,paid,fulfilled,34.99,0.00,0.00,34.99,0.00,,subscription_contract,/,,,,subscription,OR
5000000118,10118,7000000027,emmarobinson@gmail.com,2024-12-04T18:25:07-05:00,pending,unfulfilled,34.99,3.11,0.00,38.10,0.00,,subscription_contract,/?utm_source=meta&utm_medium=paid,,,,subscription,OR
5000000119,10119,7000000027,emmarobinson@gmail.com,2025-01-03T18:25:07-05:00,pending,unfulfilled,34.99,3.11,0.00,38.10,0.00,,subscription_contract,/,,,,subscription,OR
5000000120,10120,7000000028,evelyn_white21@hotmail.com,2024-11-08T22:16:13-05:00,paid,fulfilled,89.99,7.20,0.00,97.19,0.00,,web,/?utm_source=influencer&utm_medium=none,,,,,IN
5000000121,10121,7000000029,penelope.miller@gmail.com,2025-07-22T05:39:34-05:00,paid,fulfilled,71.99,5.76,0.00,77.75,18.00,WELCOME15,web,/?utm_source=meta&utm_medium=paid,,,,subscription,CT
5000000122,10122,7000000029,penelope.miller@gmail.com,2025-10-21T05:39:34-05:00,refunded,fulfilled,89.99,5.96,0.00,95.95,0.00,,subscription_contract,/?utm_source=meta&utm_medium=paid,,,,subscription,CT
5000000124,10124,7000000030,ameliabaker34@outlook.com,2024-04-07T23:05:36-05:00,paid,fulfilled,71.99,4.77,0.00,76.76,18.00,FIRST25,web,/?utm_source=tiktok&utm_medium=paid,,,,subscription,NY
5000000125,10125,7000000030,ameliabaker34@outlook.com,2024-05-05T23:05:36-05:00,paid,fulfilled,89.99,7.99,0.00,97.98,0.00,,subscription_contract,/,,,,subscription,NY
5000000126,10126,7000000030,ameliabaker34@outlook.com,2024-06-04T23:05:36-05:00,paid,fulfilled,89.99,7.20,0.00,97.19,0.00,,subscription_contract,/?utm_source=tiktok&utm_medium=paid,,,,subscription,NY
5000000127,10127,7000000030,ameliabaker34@outlook.com,2024-07-04T23:05:36-05:00,paid,fulfilled,89.99,5.96,0.00,95.95,0.00,,subscription_contract,/,,,,subscription,NY
5000000128,10128,7000000030,ameliabaker34@outlook.com,2024-08-05T23:05:36-05:00,paid,fulfilled,89.99,5.96,0.00,95.95,0.00,,subscription_contract,/,,,,subscription,NY
5000000129,10129,7000000030,ameliabaker34@outlook.com,2024-09-02T23:05:36-05:00,paid,fulfilled,89.99,7.20,0.00,97.19,0.00,,subscription_contract,/?utm_source=tiktok&utm_medium=paid,,,,subscription,NY
5000000130,10130,7000000030,ameliabaker34@outlook.com,2024-10-01T23:05:36-05:00,paid,fulfilled,80.99,0.00,0.00,80.99,9.00,LOYAL10,subscription_contract,/?utm_source=tiktok&utm_medium=paid,,,,subscription,NY
5000000131,10131,7000000030,ameliabaker34@outlook.com,2024-10-31T23:05:36-05:00,paid,fulfilled,89.99,6.30,0.00,96.29,0.00,,subscription_contract,/,,,,subscription,NY
5000000132,10132,7000000030,ameliabaker34@outlook.com,2024-12-01T23:05:36-05:00,paid,fulfilled,89.99,5.96,0.00,95.95,0.00,,subscription_contract,/?utm_source=tiktok&utm_medium=paid,,,,subscription,NY
5000000133,10133,7000000030,ameliabaker34@outlook.com,2024-12-31T23:05:36-05:00,paid,fulfilled,89.99,5.96,0.00,95.95,0.00,,subscription_contract,/,,,,subscription,NY
5000000134,10134,7000000030,ameliabaker34@outlook.com,2025-01-30T23:05:36-05:00,paid,fulfilled,89.99,7.99,0.00,97.98,0.00,,subscription_contract,/?utm_source=tiktok&utm_medium=paid,,,,subscription,NY
5000000135,10135,7000000030,ameliabaker34@outlook.com,2025-03-03T23:05:36-05:00,paid,fulfilled,89.99,7.99,0.00,97.98,0.00,,subscription_contract,/,,,,subscription,NY
5000000136,10136,7000000030,ameliabaker34@outlook.com,2025-04-01T23:05:36-05:00,paid,fulfilled,89.99,5.96,0.00,95.95,0.00,,subscription_contract,/?utm_source=tiktok&utm_medium=paid,,,,subscription,NY
5000000137,10137,7000000030,ameliabaker34@outlook.com,2025-05-01T23:05:36-05:00,pending,unfulfilled,89.99,7.20,0.00,97.19,0.00,,subscription_contract,/?utm_source=tiktok&utm_medium=paid,,,,subscription,NY
5000000138,10138,7000000030,ameliabaker34@outlook.com,2025-05-29T23:05:36-05:00,pending,unfulfilled,89.99,5.96,0.00,95.95,0.00,,subscription_contract,/,,,,subscription,NY
5000000139,10139,7000000031,emma.perez82@yahoo.com,2025-03-28T20:05:09-05:00,paid,fulfilled,109.99,0.00,0.00,109.99,0.00,,web,/?utm_source=direct&utm_medium=none,,,,subscription,CT
5000000140,10140,7000000031,emma.perez82@yahoo.com,2025-06-26T20:05:09-05:00,paid,fulfilled,109.99,7.70,0.00,117.69,0.00,,subscription_contract,/,,,,subscription,CT
